numero,nome,cor_chaveiro,disponivel
222,PORTA CORTA FOGO SS1,Branco,True
223,PORTA CORTA FOGO SS1,Branco,True
224,PORTA CORTA FOGO SS1,Branco,True
225,PORTA CORTA FOGO SS1,Branco,True
226,PORTA CORTA FOGO SS1,Branco,True
227,PORTA CORTA FOGO SS1,Branco,True
228,PORTA CORTA FOGO L01,Amarelo,True
229,PORTA CORTA FOGO L01,Amarelo,True
230,PORTA CORTA FOGO L01,Amarelo,True
231,PORTA CORTA FOGO L01,Amarelo,True
232,PORTA CORTA FOGO L01,Amarelo,True
233,PORTA CORTA FOGO L01,Amarelo,True
234,PORTA CORTA FOGO L01,Amarelo,True
235,PORTA CORTA FOGO L01,Amarelo,True
236,PORTA CORTA FOGO L01,Amarelo,True
237,PORTA CORTA FOGO L01,Amarelo,True
238,PORTA CORTA FOGO L01,Amarelo,True
239,PORTA CORTA FOGO L01,Amarelo,True
240,PORTA CORTA FOGO L01,Amarelo,True
241,PORTA CORTA FOGO L01,Amarelo,True
242,PORTA CORTA FOGO L01,Amarelo,True
243,PORTA CORTA FOGO L01,Amarelo,True
244,PORTA CORTA FOGO L01,Amarelo,True
245,PORTA CORTA FOGO L01,Amarelo,True
246,PORTA CORTA FOGO M01,Amarelo,True
247,PORTA CORTA FOGO M01,Amarelo,True
248,PORTA CORTA FOGO M01,Amarelo,True
249,PORTA CORTA FOGO M01,Amarelo,True
250,PORTA CORTA FOGO L02,Azul,True
251,PORTA CORTA FOGO L02,Azul,True
252,PORTA CORTA FOGO L02,Azul,True
253,PORTA CORTA FOGO L02,Azul,True
254,PORTA CORTA FOGO L02,Azul,True
255,PORTA CORTA FOGO L02,Azul,True
256,PORTA CORTA FOGO L02,Azul,True
257,PORTA CORTA FOGO L02,Azul,True
258,PORTA CORTA FOGO L02,Azul,True
259,PORTA CORTA FOGO L02,Azul,True
260,PORTA CORTA FOGO L02,Azul,True
261,PORTA CORTA FOGO L02,Azul,True
262,PORTA CORTA FOGO L02,Azul,True
263,PORTA CORTA FOGO M02,Azul,True
264,PORTA CORTA FOGO M02,Azul,True
265,PORTA CORTA FOGO M02,Azul,True
266,PORTA CORTA FOGO L03,Vermelho,True
267,PORTA CORTA FOGO L03,Vermelho,True
268,PORTA CORTA FOGO L03,Vermelho,True
269,PORTA CORTA FOGO L03,Vermelho,True
270,PORTA CORTA FOGO L03,Vermelho,True
271,PORTA CORTA FOGO L03,Vermelho,True
272,PORTA CORTA FOGO L03,Vermelho,True
273,PORTA CORTA FOGO L03,Vermelho,True
274,PORTA CORTA FOGO L03,Vermelho,True
275,PORTA CORTA FOGO L03,Vermelho,True
276,PORTA CORTA FOGO L03,Vermelho,True
277,PORTA CORTA FOGO L03,Vermelho,True
278,PORTA CORTA FOGO L03,Vermelho,True
279,PORTA CORTA FOGO L03,Vermelho,True
280,PORTA CORTA FOGO M03,Vermelho,True
281,PORTA CORTA FOGO M03,Vermelho,True
282,PORTA CORTA FOGO M03,Vermelho,True
283,PORTA CORTA FOGO M03,Vermelho,True
284,LIVRE,Verde,True
285,LIVRE,Verde,True
286,LIVRE,Verde,True
287,LIVRE,Verde,True
288,LIVRE,Verde,True
289,LIVRE,Verde,True
290,LIVRE,Verde,True
291,LIVRE,Verde,True
292,LIVRE,Verde,True
293,LIVRE,Verde,True
294,LIVRE,Verde,True
295,LIVRE,Verde,True
296,LIVRE,Verde,True
297,LIVRE,Verde,True
298,LIVRE,Verde,True
299,LIVRE,Verde,True
300,LIVRE,Verde,True
301,TAPUME S1,Amarelo,True
302,TAPUME S1,Amarelo,True
303,TAPUME S1,Amarelo,True
304,TAPUME S1,Amarelo,True
305,TAPUME L1,Azul,True
306,TAPUME L1,Azul,True
307,TAPUME L1,Azul,True
308,TAPUME L1,Azul,True
309,TAPUME L1,Azul,True
310,TAPUME L1,Azul,True
311,TAPUME L1,Azul,True
312,TAPUME L1,Azul,True
313,TAPUME L1,Azul,True
314,TAPUME L1,Azul,True
315,TAPUME L1,Azul,True
316,TAPUME L1,Azul,True
317,TAPUME L1,Azul,True
318,TAPUME L1,Azul,True
319,TAPUME L1,Azul,True
320,TAPUME L1,Azul,True
321,TAPUME L1,Azul,True
322,TAPUME L1,Azul,True
323,TAPUME L1,Azul,True
324,TAPUME L1,Azul,True
325,TAPUME L1,Azul,True
326,TAPUME L1,Azul,True
327,TAPUME L1,Azul,True
328,TAPUME L1,Azul,True
329,TAPUME L1,Azul,True
330,TAPUME L1,Azul,True
331,TAPUME L1,Azul,True
332,TAPUME L1,Azul,True
333,TAPUME L1,Azul,True
334,TAPUME L1,Azul,True
335,TAPUME L1,Azul,True
336,TAPUME L1,Azul,True
337,TAPUME L1,Azul,True
338,TAPUME L1,Azul,True
339,TAPUME L1,AZUL,True
340,TAPUME L1,Azul,True
341,TAPUME L1,Azul,True
342,TAPUME L1,Azul,True
343,TAPUME L1,Azul,True
344,TAPUME L1,Azul,True
345,TAPUME L1,Azul,True
346,TAPUME L1,Azul,True
347,TAPUME L2,Rosa,True
348,TAPUME L2,Rosa,True
349,TAPUME L2,Rosa,True
350,TAPUME L2,Rosa,True
351,TAPUME L2,Rosa,True
352,TAPUME L2,Rosa,True
353,TAPUME L2,Rosa,True
354,TAPUME L2,Rosa,True
355,TAPUME L2,Rosa,True
356,TAPUME L2,Rosa,True
357,TAPUME L2,Rosa,True
358,TAPUME L2,Rosa,True
359,TAPUME L2,Rosa,True
360,TAPUME L2,Rosa,True
361,TAPUME L2,Rosa,True
362,TAPUME L2,Rosa,True
363,TAPUME L2,Rosa,True
364,TAPUME L2,Rosa,True
365,TAPUME L3,Verde,True
366,TAPUME L3,Verde,True
367,TAPUME L3,Verde,True
368,TAPUME L3,Verde,True
369,TAPUME L3,Verde,True
370,TAPUME L3,Verde,True
371,TAPUME L3,Verde,True
372,TAPUME L3,Verde,True
373,TAPUME L3,Verde,True
374,TAPUME L3,Verde,True
375,TAPUME L3,Verde,True
376,TAPUME L3,Verde,True
377,TAPUME L3,Verde,True
378,TAPUME L3,Verde,True
379,TAPUME L3,Verde,True
380,TAPUME L2,Verde,True
381,TAPUME L2,Verde,True
382,TAPUME L3,Verde,True
383,ETIQUETADORA,PONTAL SHOPPING,True
